,Unnamed: 0,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,step
0,8507,F6D5351434507AE7,docked_bike,2021-02-25 08:17:27,2021-02-25 08:47:00,Stockholm St & Wilson Ave,4824,6 Ave & Canal St,5500.0,40.699304,-73.923044,40.72243797,-74.00566443,member,-1
1,8520,E9A41C5735A3627F,docked_bike,2021-02-17 15:29:59,2021-02-17 15:34:33,Stockholm St & Wilson Ave,4824,Knickerbocker Ave & George St,4979.0,40.699304,-73.923044,40.704425,-73.92836,member,-1
2,8908,8FC728992CC3A765,docked_bike,2021-02-16 10:38:49,2021-02-16 10:41:35,Stockholm St & Wilson Ave,4824,Knickerbocker Ave & George St,4979.0,40.699304,-73.923044,40.704425,-73.92836,member,-1
3,11692,7D7F1EFECF410B62,docked_bike,2021-02-12 09:29:06,2021-02-12 09:38:33,Stockholm St & Wilson Ave,4824,Nostrand Ave & Myrtle Ave,4707.0,40.699304,-73.923044,40.69527008,-73.95238108,casual,-1
4,11711,13FC69D1BD6365F4,docked_bike,2021-02-26 08:26:57,2021-02-26 08:31:49,Stockholm St & Wilson Ave,4824,Harrison Pl & Porter Ave,5090.0,40.699304,-73.923044,40.70686,-73.92851,member,-1
5,12299,A6E071CEC54DCC49,docked_bike,2021-02-24 09:43:29,2021-02-24 09:47:19,Stockholm St & Wilson Ave,4824,Harrison Pl & Porter Ave,5090.0,40.699304,-73.923044,40.70686,-73.92851,member,-1
6,12766,80DB40123BB20720,docked_bike,2021-02-04 13:42:27,2021-02-04 14:00:45,Stockholm St & Wilson Ave,4824,Nostrand Ave & Myrtle Ave,4707.0,40.699304,-73.923044,40.69527008,-73.95238108,member,-1
7,27370,7F6085CF744D30AD,docked_bike,2021-02-05 19:28:07,2021-02-05 19:38:23,Stockholm St & Wilson Ave,4824,Leonard St & Boerum St,5036.0,40.699304,-73.923044,40.705833,-73.946446,member,-1
8,33280,CBA3E4D5B5FF3EC4,docked_bike,2021-02-24 17:43:45,2021-02-24 17:49:48,Stockholm St & Wilson Ave,4824,Stewart Ave & Johnson Ave,5123.0,40.699304,-73.923044,40.70869,-73.92587,casual,-1
9,38716,9498701525C3EAF8,docked_bike,2021-02-20 19:14:21,2021-02-20 19:28:47,Stockholm St & Wilson Ave,4824,Monroe St & Tompkins Ave,4434.0,40.699304,-73.923044,40.686203,-73.944694,casual,-1
10,43704,A619EEC7EF8EEA6A,docked_bike,2021-02-24 14:41:21,2021-02-24 14:57:59,Stockholm St & Wilson Ave,4824,Nassau St & Navy St,4812.0,40.699304,-73.923044,40.69839895,-73.98068914,member,-1
11,43792,238B8A2E354F6D75,docked_bike,2021-02-26 14:43:11,2021-02-26 14:57:55,Stockholm St & Wilson Ave,4824,Nassau St & Navy St,4812.0,40.699304,-73.923044,40.69839895,-73.98068914,member,-1
12,47444,76F4A0160152ED80,docked_bike,2021-02-16 16:04:40,2021-02-16 16:11:11,Stockholm St & Wilson Ave,4824,Madison St & Evergreen Ave,4560.0,40.699304,-73.923044,40.69122,-73.91693,casual,-1
13,48769,F5E09F5A5D5526ED,docked_bike,2021-02-11 18:41:24,2021-02-11 19:20:50,Stockholm St & Wilson Ave,4824,34 St & 38 Ave,6453.0,40.699304,-73.923044,40.752443,-73.929737,casual,-1
14,49798,CC5DD5D779859798,docked_bike,2021-02-24 13:21:07,2021-02-24 13:55:52,Stockholm St & Wilson Ave,4824,Front St & Washington St,4936.0,40.699304,-73.923044,40.70255088,-73.98940236,casual,-1
15,51530,CB6360A90537FA7F,docked_bike,2021-02-25 16:25:06,2021-02-25 16:30:16,Stockholm St & Wilson Ave,4824,White St & Moore St,4987.0,40.699304,-73.923044,40.704508,-73.9351,member,-1
16,54186,7749961A2D5802E3,docked_bike,2021-02-21 17:41:46,2021-02-21 18:00:16,Stockholm St & Wilson Ave,4824,DeKalb Ave & Franklin Ave,4528.0,40.699304,-73.923044,40.690648,-73.957462,member,-1
